# The .env schema: every setting mediastack or its compose files read.
# lib/env.sh validates .env against it (values on every command, unknown keys
# in doctor); CI holds the code and .env.example to it (scripts/test-env.sh).
# Columns (TAB-separated):
#   key     a name, or a family: <svc>_X for every service (its name
#           uppercased, - as _), <arr> for the arrs trash-sync manages,
#           <root> for CONFIG_ROOT, DATA_ROOT, CACHE_ROOT, TRANSCODE_ROOT, BACKUP_ROOT
#   type    text secret path dirname int pint pct bool uid port size tz
#           calendar profiles host domain email url cname enum:a|b ...
#           retired:N (no longer used since schema N — doctor says so)
#   empty   ok = an empty value is allowed (usually: not set yet / use the default)
#   writer  you | wizard (configure or a setup verb asks) | script (written for
#           you) | advanced (read with a default; set it only to change that)
#           — you and wizard keys must appear in .env.example
#   meaning one line
RECYCLE_DAYS	int	no	you	days the arrs keep recycled files (0 = never empty)
LOG_MAX_SIZE	size	no	you	container log size before rotation (e.g. 10m)
LOG_MAX_FILE	pint	no	you	container log files kept
CF_DNS_API_TOKEN	secret	ok	wizard	Cloudflare DNS token for certificates (traefik-setup)
TRAEFIK_DOMAIN	domain	ok	wizard	the domain services are published under (traefik-setup)
ACME_EMAIL	email	ok	wizard	certificate contact address (traefik-setup)
ACME_ENV	enum:staging|production	ok	wizard	which certificates Traefik requests (traefik-setup --certs)
TRAEFIK_DASH_USER	text	ok	wizard	Traefik dashboard login (traefik-setup)
TRAEFIK_DASH_PASSWORD	secret	ok	wizard	Traefik dashboard password (traefik-setup)
CLEANUPARR_API_KEY	secret	ok	script	cleanuparr API key (wire cleanuparr)
WIZARR_API_KEY	secret	ok	script	Wizarr API key (wire wizarr)
SEERR_API_KEY	secret	ok	script	Seerr API key (wire seerr)
TRASH_PROFILE_<arr>	text	ok	wizard	the TRaSH quality profile trash-sync applies to that arr
<svc>_UID	uid	ok	wizard	the id that service runs as (configure allocates it)
<svc>_UPDATE	bool	no	wizard	whether automatic updates include that service
<svc>_NAME	cname	no	advanced	that service's container name (default mediastack-<service>)
<svc>_PORT	port	no	advanced	the host port that service is published on (default: its own)
<svc>_HOST	host	no	advanced	that service's HTTPS name under TRAEFIK_DOMAIN (traefik-setup --hosts)
<svc>_VPN	bool	no	script	that service's VPN membership (vpn <service> on|off)
<svc>_USER_FACING	bool	no	script	whether that service's updates notify the household (set-user-facing)
TRAEFIK_DASH_HOST	host	no	advanced	the Traefik dashboard's HTTPS name (default dash)
TRAEFIK_HTTP_PORT	port	no	advanced	Traefik's HTTP port on the host (default 80)
TRAEFIK_HTTPS_PORT	port	no	advanced	Traefik's HTTPS port on the host (default 443)
NPM_HTTP_PORT	port	no	advanced	Nginx Proxy Manager's HTTP port on the host
NPM_HTTPS_PORT	port	no	advanced	Nginx Proxy Manager's HTTPS port on the host
NPM_ADMIN_PORT	port	no	advanced	Nginx Proxy Manager's admin UI port on the host
PIHOLE_WEB_PORT	port	no	advanced	Pi-hole's web UI port on the host
FLARESOLVERR_LOG_LEVEL	text	no	advanced	FlareSolverr log level
SEERR_LOG_LEVEL	text	no	advanced	Seerr log level
JELLYFIN_METADATA_DIR	path	no	advanced	where Jellyfin keeps metadata (default inside its config)
JELLYSEARCH_INDEX_CRON	text	no	advanced	when JellySearch re-indexes (cron expression)
MEILI_MAX_INDEXING_MEMORY	text	no	advanced	Meilisearch indexing memory limit (e.g. 512Mb)
MEILI_MAX_INDEXING_THREADS	pint	no	advanced	Meilisearch indexing threads
ERSATZTV_UID	retired:3	ok	-	ErsatzTV runs as root by upstream design
TRAEFIK_LOCAL_PROXY	retired:28	ok	-	was never read; your routes live in custom/proxy.d
WIRE_REPOINT	retired:29	ok	-	pending re-points moved to local/state
UID_HANDOVER	retired:29	ok	-	pending ownership handovers moved to local/state
